소환사명,티어,LP,레벨,승률,아이템1,아이템2,아이템3
EUWEIL,Master,86 LP,36,54%,자객의 발톱,죽음의 무도,세릴다의 원한
EUWEIL,Master,86 LP,36,54%,마법사의 신발,망가진 초시계,제어 와드
sushicat1,Master,62 LP,38,51%,발걸음 분쇄기,스테락의 도전,군단의 방패
sushicat1,Master,62 LP,38,51%,발걸음 분쇄기,란두인의 예언,스테락의 도전
sushicat1,Master,62 LP,38,51%,발걸음 분쇄기,도란의 검,헤르메스의 발걸음
allgzzzs,Master,17 LP,38,52%,발걸음 분쇄기,거인의 허리띠,음전자 망토
allgzzzs,Master,17 LP,38,52%,무한의 대검,고속 연사포,판금 장화
allgzzzs,Master,17 LP,38,52%,돌풍,광전사의 군화,고속 연사포
NA TaIent,Master,15 LP,34,57%,무라마나,수호 천사,독사의 송곳니
NA TaIent,Master,15 LP,34,57%,존야의 모래시계,방출의 마법봉,마법사의 신발
NA TaIent,Master,15 LP,34,57%,충전형 물약,선혈포식자,판금 장화
nlhwcxud,Master,1 LP,37,56%,슈렐리아의 군가,존야의 모래시계,암흑의 인장
nlhwcxud,Master,1 LP,37,56%,불멸의 철갑궁,도란의 검,제어 와드
nlhwcxud,Master,1 LP,37,56%,충전형 물약,크라켄 학살자,광전사의 군화
bot01,Diamond 1,100 LP,38,65%,광전사의 군화,무한의 대검,크라켄 학살자
Z000000RT 361efe,Diamond 1,100 LP,35,52%,쇠사슬 조끼,돌풍,무한의 대검
hiver noir,Diamond 1,100 LP,36,62%,도란의 검,불멸의 철갑궁,단검
timothée tilt,Diamond 1,100 LP,38,66%,공허의 지팡이,라바돈의 죽음모자,마법공학 로켓 벨트
bot01,Diamond 1,100 LP,38,65%,밤의 수확자,충전형 물약,존야의 모래시계
Z000000RT 361efe,Diamond 1,100 LP,35,52%,밤의 수확자,충전형 물약,역병의 보석
hiver noir,Diamond 1,100 LP,36,62%,칠흑의 양날 도끼,선혈포식자,롱소드
timothée tilt,Diamond 1,100 LP,38,66%,크라켄 학살자,몰락한 왕의 검,도란의 검
bot01,Diamond 1,100 LP,38,65%,초시계,존야의 모래시계,균열 생성기
Z000000RT 361efe,Diamond 1,100 LP,35,52%,공허의 지팡이,대천사의 포옹,존야의 모래시계
hiver noir,Diamond 1,100 LP,36,62%,무라마나,돌풍,충전형 물약
timothée tilt,Diamond 1,100 LP,38,66%,밤의 수확자,돌풍,충전형 물약
fkn degenerate,Diamond 1,100 LP,37,66%,얼음 정수의 파편,초시계,제어 와드
fkn degenerate,Diamond 1,100 LP,37,66%,얼음 정수의 파편,흐르는 물의 지팡이,제어 와드
fkn degenerate,Diamond 1,100 LP,37,66%,얼음 정수의 파편,충전형 물약,제어 와드
PLZROAIV,Diamond 1,90 LP,33,61%,마법사의 신발,밤의 수확자,존야의 모래시계
PLZROAIV,Diamond 1,90 LP,33,61%,약간 신비한 신발,크라켄 학살자,충전형 물약
PLZROAIV,Diamond 1,90 LP,33,61%,발걸음 분쇄기,망자의 갑옷,수은 장식띠
pipelinepunch47,Diamond 1,79 LP,38,69%,크라켄 학살자,유령 무희,광전사의 군화
pipelinepunch47,Diamond 1,79 LP,38,69%,만년서리,암흑의 인장,마법사의 신발
pipelinepunch47,Diamond 1,79 LP,38,69%,마법공학 로켓 벨트,암흑의 인장,마법사의 신발
SHG Empy,Diamond 1,75 LP,38,55%,발걸음 분쇄기,도란의 검,루비 수정
ARAMLOVER420,Diamond 1,75 LP,38,60%,발걸음 분쇄기,도란의 검,음전자 망토
Andil 3,Diamond 1,75 LP,36,62%,발걸음 분쇄기,도란의 검,쓸데없이 큰 지팡이
KR MIDKlNG,Diamond 1,75 LP,37,55%,광전사의 군화,유령 무희,크라켄 학살자
nryulyzx,Diamond 1,75 LP,34,62%,광전사의 군화,유령 무희,크라켄 학살자
a monsterr,Diamond 1,75 LP,38,54%,광전사의 군화,징수의 총,크라켄 학살자
SHG Empy,Diamond 1,75 LP,38,55%,도란의 검,무한의 대검,불멸의 철갑궁
ARAMLOVER420,Diamond 1,75 LP,38,60%,도란의 검,무라마나,드락사르의 황혼검
Andil 3,Diamond 1,75 LP,36,62%,도란의 검,크라켄 학살자,징수의 총
KR MIDKlNG,Diamond 1,75 LP,37,55%,단검,자객의 발톱,롱소드
nryulyzx,Diamond 1,75 LP,34,62%,공허의 지팡이,존야의 모래시계,라바돈의 죽음모자
a monsterr,Diamond 1,75 LP,38,54%,곡괭이,돌풍,도란의 검
SHG Empy,Diamond 1,75 LP,38,55%,B.F. 대검,돌풍,유령 무희
ARAMLOVER420,Diamond 1,75 LP,38,60%,방출의 마법봉,마법공학 로켓 벨트,존야의 모래시계
Andil 3,Diamond 1,75 LP,36,62%,존야의 모래시계,만년서리,제어 와드
KR MIDKlNG,Diamond 1,75 LP,37,55%,피바라기,망가진 초시계,마법사의 신발
nryulyzx,Diamond 1,75 LP,34,62%,곡궁,마법공학 로켓 벨트,공허의 지팡이
a monsterr,Diamond 1,75 LP,38,54%,망각의 구,만년서리,루덴의 폭풍
Kz Gabzzeer,Diamond 1,75 LP,38,67%,징수의 총,월식,수은 장식띠
Kz Gabzzeer,Diamond 1,75 LP,38,67%,크라켄 학살자,광전사의 군화,도미닉 경의 인사
Kz Gabzzeer,Diamond 1,75 LP,38,67%,리안드리의 고뇌,마법사의 신발,존야의 모래시계
stillnumb2,Diamond 1,55 LP,33,53%,수호 천사,천 갑옷,약간 신비한 신발
stillnumb2,Diamond 1,55 LP,33,53%,쓸데없이 큰 지팡이,존야의 모래시계,메자이의 영혼약탈자
stillnumb2,Diamond 1,55 LP,33,53%,타곤 산의 방벽,터보 화공 탱크,제어 와드
tame impala fan,Diamond 1,49 LP,35,50%,도란의 검,월식,명석함의 아이오니아 장화
tame impala fan,Diamond 1,49 LP,35,50%,도란의 방패,장화,천 갑옷
tame impala fan,Diamond 1,49 LP,35,50%,도란의 방패,처형인의 대검,판금 장화
SlPSTEA1,Diamond 1,42 LP,38,66%,밤의 수확자,존야의 모래시계,역병의 보석
SlPSTEA1,Diamond 1,42 LP,38,66%,명석함의 아이오니아 장화,존야의 모래시계,밤의 수확자
SlPSTEA1,Diamond 1,42 LP,38,66%,밤의 수확자,망각의 구,공허의 지팡이
krvqnfsr,Diamond 1,27 LP,33,53%,타곤 산의 방벽,기동력의 장화,강철의 솔라리 펜던트
krvqnfsr,Diamond 1,27 LP,33,53%,타곤 산의 방벽,점화석,터보 화공 탱크
krvqnfsr,Diamond 1,27 LP,33,53%,타곤 산의 방벽,명석함의 아이오니아 장화,슈렐리아의 군가
HIGHAPMAD1,Diamond 1,25 LP,38,66%,곡괭이,도미닉 경의 인사,크라켄 학살자
HIGHAPMAD1,Diamond 1,25 LP,38,66%,정수 약탈자,콜필드의 전투 망치,드락사르의 황혼검
HIGHAPMAD1,Diamond 1,25 LP,38,66%,필멸자의 운명,무한의 대검,피바라기
stillnumb1,Diamond 1,20 LP,34,48%,광전사의 군화,돌풍,단검
MyTimeToBard,Diamond 1,20 LP,38,61%,불멸의 철갑궁,충전형 물약,헤르메스의 발걸음
stillnumb1,Diamond 1,20 LP,34,48%,망각의 구,존야의 모래시계,루덴의 폭풍
MyTimeToBard,Diamond 1,20 LP,38,61%,얼음 정수의 파편,강철의 솔라리 펜던트,제어 와드
stillnumb1,Diamond 1,20 LP,34,48%,얼음 정수의 파편,강철의 솔라리 펜던트,제어 와드
MyTimeToBard,Diamond 1,20 LP,38,61%,얼음 정수의 파편,강철의 솔라리 펜던트,제어 와드
vacyfapm,Diamond 1,19 LP,33,53%,도란의 방패,망자의 갑옷,헤르메스의 발걸음
vacyfapm,Diamond 1,19 LP,33,53%,군단의 방패,대자연의 힘,망자의 갑옷
vacyfapm,Diamond 1,19 LP,33,53%,세릴다의 원한,수호 천사,무라마나
joshuelo3,Diamond 1,5 LP,38,65%,불멸의 철갑궁,정수 약탈자,명석함의 아이오니아 장화
joshuelo3,Diamond 1,5 LP,38,65%,크라켄 학살자,유령 무희,곡괭이
joshuelo3,Diamond 1,5 LP,38,65%,란두인의 예언,덤불 조끼,서리불꽃 건틀릿
SKHLKOBR,Diamond 1,1 LP,31,91%,기동력의 장화,지크의 융합,구원
SKHLKOBR,Diamond 1,1 LP,31,91%,명석함의 아이오니아 장화,점화석,충전형 물약
SKHLKOBR,Diamond 1,1 LP,31,91%,판금 장화,루비 수정,점화석
MSVPEILO,Diamond 1,0 LP,31,73%,무한의 대검,크라켄 학살자,광전사의 군화
luka5,Diamond 1,0 LP,36,48%,만년서리,크라켄 학살자,도란의 검
MSVPEILO,Diamond 1,0 LP,31,73%,부패 물약,존야의 모래시계,제어 와드
luka5,Diamond 1,0 LP,36,48%,도란의 검,돌풍,무한의 대검
MSVPEILO,Diamond 1,0 LP,31,73%,사라진 양피지,충전형 물약,명석함의 아이오니아 장화
luka5,Diamond 1,0 LP,36,48%,리안드리의 고뇌,충전형 물약,명석함의 아이오니아 장화
longtimelongtime,Diamond 1,0 LP,37,65%,판금 장화,선혈포식자,스테락의 도전
longtimelongtime,Diamond 1,0 LP,37,65%,가고일 돌갑옷,선혈포식자,스테락의 도전
longtimelongtime,Diamond 1,0 LP,37,65%,가고일 돌갑옷,선혈포식자,판금 장화
ReformedPlayer77,Diamond 2,95 LP,36,68%,스테락의 도전,몰락한 왕의 검,판금 장화
ReformedPlayer77,Diamond 2,95 LP,36,68%,불멸의 철갑궁,충전형 물약,헤르메스의 발걸음
ReformedPlayer77,Diamond 2,95 LP,36,68%,불멸의 철갑궁,롱소드,도란의 검
pkwoqtsq,Diamond 2,75 LP,32,54%,화이트록의 갑옷,강철의 솔라리 펜던트,구원
RNGUzi7,Diamond 2,75 LP,36,67%,룬 강철 어깨 갑옷,강철의 솔라리 펜던트,제어 와드
RookieChovyDoinb,Diamond 2,75 LP,33,49%,화이트록의 갑옷,그림자 검,제어 와드
pkwoqtsq,Diamond 2,75 LP,32,54%,무한의 대검,돌풍,광전사의 군화
RNGUzi7,Diamond 2,75 LP,36,67%,무한의 대검,돌풍,여신의 눈물
RookieChovyDoinb,Diamond 2,75 LP,33,49%,쓸데없이 큰 지팡이,리안드리의 고뇌,크라켄 학살자
pkwoqtsq,Diamond 2,75 LP,32,54%,도란의 방패,파수꾼의 갑옷,태양불꽃 방패
RNGUzi7,Diamond 2,75 LP,36,67%,공허의 지팡이,쓸데없이 큰 지팡이,마법사의 신발
RookieChovyDoinb,Diamond 2,75 LP,33,49%,부패 물약,루덴의 폭풍,마법사의 신발
Dave Williams,Diamond 2,57 LP,31,75%,무한의 대검,크라켄 학살자,수은 장식띠
Dave Williams,Diamond 2,57 LP,31,75%,도란의 검,유령 무희,크라켄 학살자
Dave Williams,Diamond 2,57 LP,31,75%,피바라기,돌풍,무한의 대검
Zedalityv2,Diamond 2,51 LP,38,63%,쇠사슬 조끼,불멸의 철갑궁,정령의 형상
Zedalityv2,Diamond 2,51 LP,38,63%,도란의 방패,도란의 검,불멸의 철갑궁
Zedalityv2,Diamond 2,51 LP,38,63%,광전사의 군화,무한의 대검,필멸자의 운명
Pogitos,Diamond 2,49 LP,38,65%,월식,롱소드,명석함의 아이오니아 장화
mid619,Diamond 2,48 LP,38,64%,얼음 정수의 파편,루덴의 폭풍,암흑의 인장
Pogitos,Diamond 2,49 LP,38,65%,마법사의 신발,추적자의 팔목 보호대,리안드리의 고뇌
mid619,Diamond 2,48 LP,38,64%,도란의 반지,존야의 모래시계,충전형 물약
Pogitos,Diamond 2,49 LP,38,65%,도란의 반지,리안드리의 고뇌,존야의 모래시계
mid619,Diamond 2,48 LP,38,64%,도란의 반지,체력 물약,월석 재생기
40 years trapper,Diamond 2,39 LP,36,47%,징수의 총,돌풍,유령 무희
didi smurf acc,Diamond 2,39 LP,36,70%,광전사의 군화,도란의 검,민첩성의 망토
40 years trapper,Diamond 2,39 LP,36,47%,명석함의 아이오니아 장화,처형인의 대검,최후의 속삭임
didi smurf acc,Diamond 2,39 LP,36,70%,얼음 정수의 파편,슈렐리아의 군가,흐르는 물의 지팡이
40 years trapper,Diamond 2,39 LP,36,47%,얼음 정수의 파편,슈렐리아의 군가,충전형 물약
didi smurf acc,Diamond 2,39 LP,36,70%,타곤 산의 방벽,금지된 우상,월석 재생기
ruep3,Diamond 2,36 LP,34,43%,죽음의 무도,쇠사슬 조끼,유령 무희
ruep3,Diamond 2,36 LP,34,43%,크라켄 학살자,수호 천사,무한의 대검
ruep3,Diamond 2,36 LP,34,43%,검은 안개 낫,약간 신비한 신발,제어 와드
theshy top fan,Diamond 2,28 LP,38,65%,스테락의 도전,선혈포식자,덤불 조끼
theshy top fan,Diamond 2,28 LP,38,65%,존야의 모래시계,리안드리의 고뇌,공허의 지팡이
theshy top fan,Diamond 2,28 LP,38,65%,무라마나,월식,도란의 검
Iet me 1v9 pls,Diamond 2,25 LP,36,64%,유령 무희,크라켄 학살자,도미닉 경의 인사
Iet me 1v9 pls,Diamond 2,25 LP,36,64%,수호 천사,징수의 총,광전사의 군화
Iet me 1v9 pls,Diamond 2,25 LP,36,64%,헤르메스의 시미터,무한의 대검,광전사의 군화
eoquo,Diamond 2,24 LP,37,71%,구인수의 격노검,크라켄 학살자,헤르메스의 발걸음
eoquo,Diamond 2,24 LP,37,71%,도란의 검,광전사의 군화,유령 무희
eoquo,Diamond 2,24 LP,37,71%,돌풍,도미닉 경의 인사,헤르메스의 시미터
ReasonToFear,Diamond 2,11 LP,38,59%,드락사르의 황혼검,판금 장화,도미닉 경의 인사
ReasonToFear,Diamond 2,11 LP,38,59%,드락사르의 황혼검,정수 약탈자,도미닉 경의 인사
ReasonToFear,Diamond 2,11 LP,38,59%,곡괭이,자객의 발톱,무라마나
Matilt,Diamond 2,4 LP,37,64%,밤의 수확자,마법사의 신발,암흑의 인장
Matilt,Diamond 2,4 LP,37,64%,밤의 수확자,존야의 모래시계,명석함의 아이오니아 장화
Matilt,Diamond 2,4 LP,37,64%,밤의 수확자,존야의 모래시계,명석함의 아이오니아 장화
Kondrajwerr,Diamond 2,3 LP,37,72%,무한의 대검,징수의 총,정수 약탈자
Kondrajwerr,Diamond 2,3 LP,37,72%,B.F. 대검,정수 약탈자,판금 장화
Kondrajwerr,Diamond 2,3 LP,37,72%,부패 물약,판금 장화,광휘의 검
JS78,Diamond 2,1 LP,37,81%,도미닉 경의 인사,무한의 대검,광전사의 군화
JANGOOOOOOO V2,Diamond 2,1 LP,38,77%,수호자의 보주,무라마나,루덴의 폭풍
JS78,Diamond 2,1 LP,37,81%,얼음 정수의 파편,슈렐리아의 군가,금지된 우상
JANGOOOOOOO V2,Diamond 2,1 LP,38,77%,화이트록의 갑옷,슈렐리아의 군가,제어 와드
JS78,Diamond 2,1 LP,37,81%,화이트록의 갑옷,자객의 발톱,독사의 송곳니
JANGOOOOOOO V2,Diamond 2,1 LP,38,77%,룬 강철 어깨 갑옷,자객의 발톱,충전형 물약
Lyfe God,Diamond 2,0 LP,38,55%,초시계,밤의 끝자락,자객의 발톱
marcel smurf acc,Diamond 2,0 LP,38,66%,톱날 단검,밤의 끝자락,자객의 발톱
Cpe0,Diamond 2,0 LP,36,58%,처형인의 대검,밤의 수확자,명석함의 아이오니아 장화
Lyfe God,Diamond 2,0 LP,38,55%,터보 화공 탱크,충전형 물약,헤르메스의 발걸음
marcel smurf acc,Diamond 2,0 LP,38,66%,유령 무희,광전사의 군화,크라켄 학살자
Cpe0,Diamond 2,0 LP,36,58%,크라켄 학살자,광전사의 군화,유령 무희
Lyfe God,Diamond 2,0 LP,38,55%,불멸의 철갑궁,흡혈의 낫,광전사의 군화
marcel smurf acc,Diamond 2,0 LP,38,66%,얼음 정수의 파편,슈렐리아의 군가,명석함의 아이오니아 장화
Cpe0,Diamond 2,0 LP,36,58%,최후의 속삭임,돌풍,민첩성의 망토
Mám rád lyfty,Diamond 2,0 LP,38,61%,신성한 파괴자,초시계,판금 장화
Mám rád lyfty,Diamond 2,0 LP,38,61%,롱소드,발걸음 분쇄기,판금 장화
Mám rád lyfty,Diamond 2,0 LP,38,61%,신성한 파괴자,죽음의 무도,판금 장화
SlighMerlyn,Diamond 2,0 LP,37,65%,충전형 물약,선혈포식자,곡괭이
SlighMerlyn,Diamond 2,0 LP,37,65%,삼위일체,스테락의 도전,천 갑옷
SlighMerlyn,Diamond 2,0 LP,37,65%,삼위일체,판금 장화,마법무효화의 망토
only push,Diamond 2,0 LP,35,69%,돌풍,나보리 신속검,도란의 검
only push,Diamond 2,0 LP,35,69%,돌풍,광전사의 군화,망가진 초시계
only push,Diamond 2,0 LP,35,69%,돌풍,처형인의 대검,망가진 초시계
EL GHOST PA,Diamond 3,93 LP,35,50%,도란의 검,유령 무희,돌풍
EL GHOST PA,Diamond 3,93 LP,35,50%,무한의 대검,필멸자의 운명,돌풍
EL GHOST PA,Diamond 3,93 LP,35,50%,도란의 검,불멸의 철갑궁,단검
AIIame,Diamond 3,86 LP,37,42%,명석함의 아이오니아 장화,스테락의 도전,신성한 파괴자
AIIame,Diamond 3,86 LP,37,42%,거대한 히드라,스테락의 도전,신성한 파괴자
AIIame,Diamond 3,86 LP,37,42%,칠흑의 양날 도끼,탐식의 망치,도란의 방패
Samira fan,Diamond 3,75 LP,38,57%,도란의 검,정수 약탈자,굳건한 의지의 완전한 비스킷
KEKSERES XD,Diamond 3,75 LP,36,60%,도란의 검,불멸의 철갑궁,B.F. 대검
Samira fan,Diamond 3,75 LP,38,57%,롱소드,크라켄 학살자,유령 무희
KEKSERES XD,Diamond 3,75 LP,36,60%,추적자의 팔목 보호대,균열 생성기,망가진 초시계
Samira fan,Diamond 3,75 LP,38,57%,내셔의 이빨,마법사의 신발,존야의 모래시계
KEKSERES XD,Diamond 3,75 LP,36,60%,크라켄 학살자,충전형 물약,신성한 파괴자
ICruncyWMI,Diamond 3,75 LP,36,58%,밤의 수확자,리치베인,마법사의 신발
ICruncyWMI,Diamond 3,75 LP,36,58%,밤의 수확자,광휘의 검,마법사의 신발
ICruncyWMI,Diamond 3,75 LP,36,58%,밤의 수확자,마법사의 신발,에테르 환영
Hozerne,Diamond 3,63 LP,37,65%,판금 장화,몰락한 왕의 검,태양불꽃 방패
Hozerne,Diamond 3,63 LP,37,65%,판금 장화,태양불꽃 방패,암흑의 인장
Hozerne,Diamond 3,63 LP,37,65%,판금 장화,태양불꽃 방패,정령의 형상
Budget Twelve,Diamond 3,60 LP,38,71%,도란의 검,선혈포식자,굶주린 히드라
Budget Twelve,Diamond 3,60 LP,38,71%,삼위일체,곡괭이,판금 장화
Budget Twelve,Diamond 3,60 LP,38,71%,도란의 검,선혈포식자,굶주린 히드라
ImStillThinking,Diamond 3,55 LP,34,55%,마법공학 로켓 벨트,존야의 모래시계,라바돈의 죽음모자
ImStillThinking,Diamond 3,55 LP,34,55%,만년서리,망각의 구,암흑의 인장
ImStillThinking,Diamond 3,55 LP,34,55%,도란의 반지,존야의 모래시계,암흑의 인장
Lonely Vesper,Diamond 3,46 LP,38,59%,여신의 눈물,마법사의 신발,제어 와드
Lonely Vesper,Diamond 3,46 LP,38,59%,무라마나,요우무의 유령검,자객의 발톱
Lonely Vesper,Diamond 3,46 LP,38,59%,도란의 검,루비 수정,자객의 발톱
MOSOXDPC,Diamond 3,26 LP,36,41%,암흑의 인장,대천사의 포옹,마법무효화의 망토
MOSOXDPC,Diamond 3,26 LP,36,41%,스테락의 도전,거인의 허리띠,명석함의 아이오니아 장화
MOSOXDPC,Diamond 3,26 LP,36,41%,신성한 파괴자,충전형 물약,헤르메스의 발걸음
acpbzrch,Diamond 3,25 LP,35,54%,초시계 키트,체력 물약,도란의 반지
1chat 1open,Diamond 3,25 LP,37,51%,유령 무희,돌풍,민첩성의 망토
Libratör,Diamond 3,25 LP,36,44%,키르히아이스의 파편,돌풍,무한의 대검
Tiger Ninja,Diamond 3,25 LP,38,74%,세릴다의 원한,굶주린 히드라,명석함의 아이오니아 장화
acpbzrch,Diamond 3,25 LP,35,54%,탐식의 망치,강철가시 채찍,도란의 검
1chat 1open,Diamond 3,25 LP,37,51%,도란의 방패,신성한 파괴자,도란의 반지
Libratör,Diamond 3,25 LP,36,44%,크라켄 학살자,맬모셔스의 아귀,구인수의 격노검
Tiger Ninja,Diamond 3,25 LP,38,74%,정수 약탈자,선혈포식자,굶주린 히드라
acpbzrch,Diamond 3,25 LP,35,54%,절정의 화살,충전형 물약,곡괭이
1chat 1open,Diamond 3,25 LP,37,51%,마법사의 최후,죽음의 무도,제어 와드
Libratör,Diamond 3,25 LP,36,44%,부패 물약,불멸의 철갑궁,몰락한 왕의 검
Tiger Ninja,Diamond 3,25 LP,38,74%,죽음의 무도,몰락한 왕의 검,거인의 허리띠
zirvekent prensi,Diamond 3,19 LP,38,63%,타곤 산의 방벽,슈렐리아의 군가,슈렐리아의 군가
zirvekent prensi,Diamond 3,19 LP,38,63%,타곤 산의 방패,불타는 향로,슈렐리아의 군가
zirvekent prensi,Diamond 3,19 LP,38,63%,타곤 산의 방벽,증폭의 고서,슈렐리아의 군가
l swear 1st acc,Diamond 3,15 LP,37,64%,마법공학 교류 발전기,부패 물약,마법사의 신발
l swear 1st acc,Diamond 3,15 LP,37,64%,B.F. 대검,돌풍,민첩성의 망토
l swear 1st acc,Diamond 3,15 LP,37,64%,리안드리의 고뇌,돌풍,충전형 물약
